date,retweets,source,author,likes
2/20/2020 19:29,0,Twitter Web Client,J Freeman ✝️🇺🇸🇮🇱❤️⚔️,0
2/20/2020 13:07,0,Twitter for Android,Rhonda Moore,1
2/20/2020 11:20,0,Twitter Web App,Gravelax,1
2/20/2020 11:01,0,Hootsuite Inc.,The Geology Shop,1
2/19/2020 23:55,0,MonkeyViral Auto Post,Official Page of MonkeyViral.com,0
2/19/2020 23:47,0,Twitter Web Client,Mockingbird101,1
2/18/2020 20:54,0,Twitter Web App,Colin Robinson,0
2/18/2020 5:14,0,Twitter Web App,Elias Banda,0
2/18/2020 0:25,1,Twitter Web App,An American Patriot,1
2/17/2020 16:31,12,Twitter Web App,Global Pact for the Environment 🌍,16
2/17/2020 15:30,0,MeetEdgar,The Quad Magazine,0
2/17/2020 10:19,0,Twitter Web App,Denis McAllister #Always_a_European,0
2/17/2020 1:52,0,Instagram,STEⓋE BOZIC,0
2/16/2020 18:01,0,Twitter Web App,EthicalRenewal,1
2/16/2020 18:01,0,Twitter Web App,EthicalRenewal,1
2/15/2020 12:39,0,Twitter Web App,EthicalRenewal,0
2/15/2020 12:33,0,Twitter Web App,EthicalRenewal,1
2/15/2020 12:33,4,Twitter Web App,EthicalRenewal,4
2/15/2020 9:41,0,Twitter for iPad,UNESCO Botswana 👉🏾 follow for updates on the #UN,1
2/15/2020 8:07,0,Twitter for Android,Azhaguvisagan K,0
2/11/2020 0:45,0,TweetDeck,Stephan Revier,0
2/10/2020 16:44,2,Twitter Web Client,ruthschuster,0
2/10/2020 0:25,1,Twitter Web App,RealCoastalWarriors,0
2/10/2020 0:21,0,Twitter Web App,RealCoastalWarriors,0
2/9/2020 22:05,1,Twitter for iPhone,A.J. Herald 📚🤔✍🏻 🌏,2
2/8/2020 16:50,0,Twitter Web App,Dave Wilburn,0
2/8/2020 8:06,0,IFTTT,POPapers,0
2/6/2020 13:02,1,Twitter Web Client,Hafiz Ullah,8
2/6/2020 10:32,0,IFTTT,POPapers,0
2/5/2020 18:59,3,Twitter for iPhone,Marc R. Pacheco,4
2/5/2020 16:43,0,Twitter for iPhone,P K Singh,0
2/4/2020 15:39,0,Twitter for iPhone,P K Singh,0
2/3/2020 18:45,0,Spreaker,The Radical Center,0
2/3/2020 15:09,0,Twitter for iPhone,STEⓋE BOZIC,0
2/3/2020 4:46,0,WordPress.com,Ajay Singh,1
2/2/2020 20:35,1,Twitter for iPhone,♦️⭕️🔴NICK🔴⭕️♦️,1
2/1/2020 13:44,2,Twitter Web App,Graham Chivers 🌎,1
2/1/2020 10:00,0,Hootsuite Inc.,UIT Cambridge,0
1/31/2020 15:50,0,Hootsuite Inc.,Haritaevi,0
1/31/2020 15:31,1,Twitter Web App,Wira- (@wira8788) Ilove❤STEEM,6
1/30/2020 15:47,0,Twitter for Android,Tech Explorist,0
1/30/2020 14:28,1,Twitter Web App,Johns Hopkins CCP,2
1/30/2020 3:48,27,Twitter Web Client,Chris Fox,37
1/29/2020 12:53,0,Instagram,Malindo Andhi S. M.,0
1/29/2020 11:42,0,Twitter Web Client,S m. balamurugan,0
1/29/2020 6:15,9,Twitter Web App,David Jensen,30
1/28/2020 7:18,3,TweetDeck,Laurie Goering,4
1/27/2020 13:29,0,Twitter Web App,Net Zero APPG,0
1/27/2020 10:59,0,Twitter Web Client,Javier Naveda,0
1/27/2020 9:16,1,Spreaker,Peter Timothy Cooper,0
1/27/2020 0:18,0,Twitter Web App,She Fought For America 🇺🇸 (Some Knucklehead),3
1/25/2020 22:25,0,Twitter Web App,Stoner Cook,0
1/25/2020 2:12,0,Twitter for iPhone,P K Singh,0
1/25/2020 1:04,24,Twitter Web Client,"Brad Rush (CAGW skeptic, fiscal conservative)",18
1/24/2020 21:58,6,Twitter for iPad,Ngara Institute,2
1/24/2020 16:07,0,Twitter for Android,EVANS MUTAVI,0
1/24/2020 2:52,0,Twitter for iPhone,Shawn Lansing,1
1/23/2020 18:18,0,Twitter Web App,Personal Blog - The Indian Diplomacy,0
1/23/2020 13:25,0,Twitter for Android,Lady Rac80 🍗🗽👼🇺🇸🇮🇱🌹,1
1/23/2020 12:45,0,Twitter Web App,PlanRadarUK,1
1/23/2020 9:52,0,Twitter for iPhone,Boi’d,1
1/22/2020 23:13,0,TweetDeck,Laurie Goering,3
1/22/2020 18:04,2,TweetDeck,Thomson Reuters Foundation News,3
1/22/2020 15:50,1,Twitter Web App,AAAS EPI Center,3
1/22/2020 15:20,1,Twitter Web Client,Will Wade,0
1/22/2020 10:34,0,Twitter for Android,Piers Coke-Wallis,0
1/22/2020 9:34,0,Twitter Web Client,Trevor Watt,0
1/22/2020 3:17,0,Twitter for iPhone,🔋Tesla Opinion🔋,0
1/21/2020 17:50,2,Hootsuite Inc.,Tornado Quest,2
1/21/2020 10:01,0,Twitter Web App,Quick Ride,0
1/20/2020 18:16,82,Twitter Web App,GO GREEN,122
1/20/2020 13:42,10,Twitter Web App,Denis Roio,10
1/20/2020 5:30,0,Twitter Web App,Elias Banda,1
1/20/2020 3:41,8,Twitter Web Client,@drtimball #climate,14
1/19/2020 1:00,0,Twitter for iPhone,Shawna Link,1
1/18/2020 13:30,0,GoliathSearchEngine,HistoricPhotos,0
1/18/2020 6:47,0,Twitter Web Client,Keyboard Justin,0
1/17/2020 20:14,0,Twitter for iPhone,A.J. Herald 📚🤔✍🏻 🌏,0
1/17/2020 19:57,0,Twitter Web Client,Randy Schisler,0
1/17/2020 14:18,0,Twitter for Android,Vihren Mitev,0
1/16/2020 22:30,0,Twitter for iPhone,Duane Allen❌,0
1/16/2020 16:06,0,Twitter for iPhone,Shawna Link,10
1/16/2020 12:11,1,Twitter for Android,greenangletv,2
1/16/2020 11:01,0,Twitter for Android,ATI MYSURU,0
1/16/2020 10:56,76,Twitter for iPhone,Avaaz,84
1/16/2020 8:17,0,Twitter for iPhone,Morgan Fitzgibbon,4
1/15/2020 21:07,3,Buffer,CCL Salt Lake City,0
1/14/2020 17:12,0,Twitter for iPhone,IIRR,1
1/14/2020 14:50,0,Twitter for iPad,Environmental Protection Network,0
1/13/2020 17:04,0,Twitter for iPhone,Ziya Cicek,0
1/13/2020 8:52,0,Twitter for Android,PrakashMandoth,2
1/13/2020 6:39,1,Facebook,Huia Sue,0
1/12/2020 12:45,0,TweetDeck,Tunç Ali Kütükçüoglu (EN),1
1/11/2020 13:01,4,Twitter for iPhone,Chris Fox,2
1/10/2020 14:09,0,Twitter Web App,Donn Dears,0
1/10/2020 12:29,0,Twitter Web App,All News Alliance,1
1/10/2020 8:27,0,IFTTT,POPapers,0
1/8/2020 12:38,0,LinkedIn,MG Cooling Solutions-Industrial Air Conditioning,0
1/8/2020 6:19,0,Twitter Web App,Charles Emmanuel,0
1/7/2020 14:55,0,Twitter Web App,Despina Zaimis,0
1/7/2020 1:07,3,Twitter Web Client,GO GREEN,2
1/5/2020 19:11,0,Instagram,Expedition Leaders,0
1/3/2020 16:19,0,Twitter for iPhone,Ross Macfarlane,3
1/3/2020 15:34,0,Gridpointwx,GridPointWeather,0
1/3/2020 15:33,0,weather-globe,Tim Melino,0
1/3/2020 12:29,0,Twitter Web App,Sascha Becher,0
1/2/2020 8:38,0,Twitter for iPhone,Morgan Fitzgibbon,0
1/2/2020 8:35,0,Twitter for iPhone,Morgan Fitzgibbon,0
1/2/2020 3:47,0,Twitter for iPhone,STEⓋE BOZIC,0
1/1/2020 0:15,1,Hootsuite Inc.,Daily Climate,0
